response_id,data_source,cohort,student_id,student_track,student_prior_stats,run_id,mode,preset,preset_label,item_position,response_date,response_datetime,week_of_term,day_of_week,hour_of_day,time_block,item_number,item_id,topic,tier_code,tier_label,session_primary,session_name,session_all,theme_code,theme_label,exam_block,lab_block,extra_topic,has_source_line,news_outlet,news_date,news_sourced,news_url,n_options,correct_position,correct_option_text,stem_chars,key_chars,mean_distractor_chars,key_length_advantage,numeric_item,exposure_number,device,chosen_position,chosen_option_text,correct,response_time_sec,item_text_full,response_text
R002063,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,2,2025-09-17,2025-09-17 15:20:41,4,Wed,15,Afternoon,818,S07-29,Confidence intervals,authored,Written to the LD 810 lecture slides,7,Confidence Intervals,7,,,exam1,lab2,,0,,,,,4,4,About 2 percentage points,140,25,25.3,-0.3,1,1,mobile,4,About 2 percentage points,1,18.7,"Q: A statewide poll of 2,400 randomly selected residents finds 40% support a new bond. Using the 95% rule, roughly what is the margin of error?  ||  A) About 10 percentage points  |  B) About 6 percentage points  |  C) About 4 percentage points  |  D) About 2 percentage points [X]",Chose D) About 2 percentage points - CORRECT
R002064,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,3,2025-09-17,2025-09-17 15:21:34,4,Wed,15,Afternoon,1272,DITW-13,Center and spread,authored,Written to the LD 810 lecture slides,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,0,,,,,4,2,The variability of monthly changes in prior years,143,49,47.0,2.0,0,1,mobile,1,The mode of monthly changes across the same period,0,15.2,"Q: Reading a monthly jobs report, a student asks whether the month's change is 'a normal amount of fluctuation.' Statistically, she is asking for:  ||  A) The mode of monthly changes across the same period  |  B) The variability of monthly changes in prior years [X]  |  C) The mean of the current month taken on its own  |  D) The level of measurement of the jobs variable",Chose A) The mode of monthly changes across the same period - INCORRECT (key: B) The variability of monthly changes in prior years)
R002065,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,4,2025-09-17,2025-09-17 15:22:12,4,Wed,15,Afternoon,37,NOIR-17,Levels of measurement,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,0,,,,,4,1,Nominal,98,7,6.7,0.3,0,1,mobile,1,Nominal,1,8.9,"Q: A gardener classifies plants as annual, biennial, or perennial. What level of measurement is this?  ||  A) Nominal [X]  |  B) Ordinal  |  C) Interval  |  D) Ratio",Chose A) Nominal - CORRECT
R002066,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,5,2025-09-17,2025-09-17 15:22:45,4,Wed,15,Afternoon,161,CLT-02,Sampling and standard error,lecture,Rewritten from textbook items to match lecture,7,Confidence Intervals,7,,,exam1,lab2,,1,,,,,4,2,The standard deviation of the sampling distribution of the mean,52,63,45.0,18.0,0,1,mobile,1,The standard deviation of the individual scores,0,13.7,Q: The standard error of the mean is best described as:  ||  A) The standard deviation of the individual scores  |  B) The standard deviation of the sampling distribution of the mean [X]  |  C) The difference between the sample and population means  |  D) The margin of error divided by two,Chose A) The standard deviation of the individual scores - INCORRECT (key: B) The standard deviation of the sampling distribution of the mean)
R002067,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,6,2025-09-17,2025-09-17 15:23:33,4,Wed,15,Afternoon,812,S07-23,Inference,authored,Written to the LD 810 lecture slides,7,Confidence Intervals,7,,,exam1,lab2,,0,,,,,4,4,The data cannot rule out meeting or missing the target,161,54,46.0,8.0,1,1,mobile,4,The data cannot rule out meeting or missing the target,1,10.5,Q: A board sets a target of 30 minutes for average call-center wait time. The 95% interval from a random audit is 22 to 34 minutes. What is the appropriate reading?  ||  A) The center has clearly failed the target and needs corrective action  |  B) The center has clearly met the target  |  C) The average is exactly 28 minutes  |  D) The data cannot rule out meeting or missing the target [X],Chose D) The data cannot rule out meeting or missing the target - CORRECT
R002068,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,7,2025-09-17,2025-09-17 15:24:04,4,Wed,15,Afternoon,668,S01-29,The three questions,authored,Written to the LD 810 lecture slides,1,Why Statistics for Leaders,1,,,exam1,lab1,,0,,,,,4,2,It stops you from rewriting the standard of proof after the fact to protect a conclusion,75,88,32.0,56.0,0,1,,2,It stops you from rewriting the standard of proof after the fact to protect a conclusion,1,9.6,Q: Why is naming what would change your mind *before* seeing results valuable?  ||  A) It speeds up the analysis  |  B) It stops you from rewriting the standard of proof after the fact to protect a conclusion [X]  |  C) It is required by APA style  |  D) It guarantees the result will be significant,Chose B) It stops you from rewriting the standard of proof after the fact to protect a conclusion - CORRECT
R002069,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,8,2025-09-17,2025-09-17 15:24:34,4,Wed,15,Afternoon,1287,DITW-28,Confidence intervals,authored,Written to the LD 810 lecture slides,7,Confidence Intervals,7,,,exam1,lab2,,0,,,,,4,1,Roughly 67 to 75 percent,118,24,33.3,-9.3,1,1,mobile,1,Roughly 67 to 75 percent,1,11.0,"Q: A survey reports 71 percent with a margin of error of plus or minus 4 points. What range should a reader hold in mind?  ||  A) Roughly 67 to 75 percent [X]  |  B) Roughly 69 to 73 percent  |  C) Roughly 63 to 79 percent  |  D) Exactly 71 percent, since that is the measured value",Chose A) Roughly 67 to 75 percent - CORRECT
R002070,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,9,2025-09-17,2025-09-17 15:25:04,4,Wed,15,Afternoon,751,S06-12,Center and spread,authored,Written to the LD 810 lecture slides,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,0,,,,,4,1,-2.00,144,5,5.0,0.0,1,1,mobile,1,-2.00,1,31.8,Q: Average patient wait time on a unit is 24 minutes with a standard deviation of 6. On Tuesday the wait was 12 minutes. What is Tuesday's z-score?  ||  A) -2.00 [X]  |  B) 2.00  |  C) -0.50  |  D) -12.00,Chose A) -2.00 - CORRECT
R002071,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,10,2025-09-17,2025-09-17 15:25:58,4,Wed,15,Afternoon,15,IVDV-15,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,0,,,,,4,2,What do chaplains believe about moral formation?,71,48,43.3,4.7,0,1,mobile,2,What do chaplains believe about moral formation?,1,12.9,Q: Which research question has no clearly identifiable dependent variable?  ||  A) Does mentoring reduce first-year attrition?  |  B) What do chaplains believe about moral formation? [X]  |  C) Does caseload predict burnout score?  |  D) Do inspection failure rates differ by jurisdiction?,Chose B) What do chaplains believe about moral formation? - CORRECT
R002072,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,11,2025-09-17,2025-09-17 15:26:41,4,Wed,15,Afternoon,13,IVDV-13,Variables and design,authored,Written to the LD 810 lecture slides,2,Variables and the Shape of Data,2,,,exam1,lab1,,0,,,,,4,3,Moderator,172,9,11.3,-2.3,0,1,mobile,3,Moderator,1,17.8,Q: A researcher suspects the relationship between caseload and burnout is stronger for early-career providers than for late-career providers. Career stage is functioning as a:  ||  A) Dependent variable  |  B) Confound  |  C) Moderator [X]  |  D) Constant,Chose C) Moderator - CORRECT
R002073,simulated,BIGTREE-FA25,BTS-18,Healthcare Leadership,1,live-0096,live,exam1,Exam 1 · sessions 1–7,12,2025-09-17,2025-09-17 15:27:16,4,Wed,15,Afternoon,661,S01-22,Claims and evidence,authored,Written to the LD 810 lecture slides,1,Why Statistics for Leaders,1,,,exam1,lab1,,0,,,,,4,3,"""Students who met an advisor twice or more last year re-enrolled at a higher rate than those who met one or fewer.""",72,115,39.3,75.7,0,1,mobile,3,"""Students who met an advisor twice or more last year re-enrolled at a higher rate than those who met one or fewer.""",1,10.2,"Q: Which rewrite turns ""our advising is excellent"" into something testable?  ||  A) ""Our advising is truly excellent.""  |  B) ""Most people agree our advising is excellent.""  |  C) ""Students who met an advisor twice or more last year re-enrolled at a higher rate than those who met one or fewer."" [X]  |  D) ""Advising excellence is a core value.""","Chose C) ""Students who met an advisor twice or more last year re-enrolled at a higher rate than those who met one or fewer."" - CORRECT"
R002074,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",1,2025-09-26,2025-09-26 22:46:00,5,Fri,22,Late night,1223,SKC-34,Sampling and standard error,theme,Themed sets,7,Confidence Intervals,7,skc,Sporting KC,exam1,lab2,,0,,,,,4,1,Increase the sample size,162,24,46.0,-22.0,0,2,mobile,4,Survey only fans seated in the Cauldron,0,,Q: The front office wants a narrower confidence interval for mean concessions spending per fan without lowering the confidence level. Which change accomplishes this?  ||  A) Increase the sample size [X]  |  B) Report the standard deviation instead of the standard error  |  C) Raise the confidence level to 99 percent  |  D) Survey only fans seated in the Cauldron,Chose D) Survey only fans seated in the Cauldron - INCORRECT (key: A) Increase the sample size)
R002075,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",2,2025-09-26,2025-09-26 22:46:19,5,Fri,22,Late night,400,BRO-20,Sampling and standard error,theme,Themed sets,7,Confidence Intervals,7,broncos,Denver Broncos,exam1,lab2,,0,,,,,4,1,One-quarter as large,195,20,14.7,5.3,1,1,tablet,1,One-quarter as large,1,20.8,"Q: A fan poll samples 100 season-ticket holders about a new uniform; a second poll samples 1,600. Compared with the first, the second poll's standard error of the mean approval rating will be about:  ||  A) One-quarter as large [X]  |  B) One-half as large  |  C) The same  |  D) Four times as large",Chose A) One-quarter as large - CORRECT
R002076,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",3,2025-09-26,2025-09-26 22:46:41,5,Fri,22,Late night,771,S06-32,Normal curve,authored,Written to the LD 810 lecture slides,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,0,,,,,4,2,43.3 percent,101,12,11.7,0.3,1,1,mobile,3,93.3 percent,0,2111.1,Q: A z-table reports the area lying between the mean and a z-score of +1.50. That area is approximately:  ||  A) 6.7 percent  |  B) 43.3 percent [X]  |  C) 93.3 percent  |  D) 34.1 percent,Chose C) 93.3 percent - INCORRECT (key: B) 43.3 percent)
R002077,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",4,2025-09-26,2025-09-26 22:50:43,5,Fri,22,Late night,1163,BRO-38,Confidence intervals,theme,Themed sets,7,Confidence Intervals,7,broncos,Denver Broncos,exam1,lab2,,0,,,,,4,4,We are 95 percent confident the population mean falls between 7.0 and 7.8,170,73,61.7,11.3,1,1,mobile,1,95 percent of fans rated satisfaction between 7.0 and 7.8,0,14.8,"Q: A survey of Broncos season-ticket holders estimates mean satisfaction at 7.4 on a 10-point scale, 95 percent CI [7.0, 7.8]. Which statement is the correct interpretation?  ||  A) 95 percent of fans rated satisfaction between 7.0 and 7.8  |  B) There is a 95 percent chance the next fan surveyed rates between 7.0 and 7.8  |  C) The sample mean has a 95 percent chance of being 7.4  |  D) We are 95 percent confident the population mean falls between 7.0 and 7.8 [X]",Chose A) 95 percent of fans rated satisfaction between 7.0 and 7.8 - INCORRECT (key: D) We are 95 percent confident the population mean falls between 7.0 and 7.8)
R002078,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",5,2025-09-26,2025-09-26 22:50:59,5,Fri,22,Late night,1240,TV-36,Normal curve,theme,Themed sets,6,The Normal Curve and z-Scores,6,taylor,Taylor's Version,exam1,lab2,,0,,,,,4,2,About 68 percent,236,16,16.7,-0.7,1,1,desktop,2,About 68 percent,1,16.5,Q: A fan-run analyst logs the length of 500 hypothetical tour setlists. The distribution is roughly normal with a mean of 44 songs and a standard deviation of 3 songs. Approximately what percentage of setlists fall between 41 and 47 songs?  ||  A) About 50 percent  |  B) About 68 percent [X]  |  C) About 95 percent  |  D) About 99.7 percent,Chose B) About 68 percent - CORRECT
R002079,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",6,2025-09-26,2025-09-26 22:51:18,5,Fri,22,Late night,795,S07-06,Confidence intervals,authored,Written to the LD 810 lecture slides,7,Confidence Intervals,7,,,exam1,lab2,,0,,,,,4,3,"The true mean is fixed; the 95% describes the procedure, not this interval",189,74,63.3,10.7,1,1,mobile,4,"Donations are usually skewed, so no confidence interval can legitimately be built here",0,9.0,"Q: A nonprofit's evaluator writes, ""There is a 95% probability that the true mean donation lies between $88 and $104."" A statistician objects. What is the technical problem with that sentence?  ||  A) The dollar range is too narrow for a donation study  |  B) Probability statements require a 99% confidence level  |  C) The true mean is fixed; the 95% describes the procedure, not this interval [X]  |  D) Donations are usually skewed, so no confidence interval can legitimately be built here","Chose D) Donations are usually skewed, so no confidence interval can legitimately be built here - INCORRECT (key: C) The true mean is fixed; the 95% describes the procedure, not this interval)"
R002080,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",7,2025-09-26,2025-09-26 22:51:29,5,Fri,22,Late night,359,P10-35,Sampling and standard error,pub,Publisher test bank — application level,7,Confidence Intervals,7|8,,,exam1|exam2,lab2|lab3,,1,,,,,4,3,There is not a significant difference between the sample value and the population.,85,82,75.3,6.7,1,1,mobile,3,There is not a significant difference between the sample value and the population.,1,9.8,"Q: In the statement, z = 1.42, p > 0.05, which of the following interpretations is TRUE?  ||  A) There is a significant difference between the sample value and the population.  |  B) There is a marginally significant difference between the sample value and the population.  |  C) There is not a significant difference between the sample value and the population. [X]  |  D) The answer cannot be determined from the information given.",Chose C) There is not a significant difference between the sample value and the population. - CORRECT
R002081,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",8,2025-09-26,2025-09-26 22:51:39,5,Fri,22,Late night,756,S06-17,Center and spread,authored,Written to the LD 810 lecture slides,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,0,,,,,4,4,-1.00,127,5,4.3,0.7,1,1,mobile,4,-1.00,1,4.7,Q: Patient satisfaction scores across clinics average 4.2 with a standard deviation of 0.4. One clinic scores 3.8. Its z-score is:  ||  A) 0.40  |  B) -0.40  |  C) 1.00  |  D) -1.00 [X],Chose D) -1.00 - CORRECT
R002082,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",9,2025-09-26,2025-09-26 22:51:45,5,Fri,22,Late night,784,S06-45,Shape of data,authored,Written to the LD 810 lecture slides,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,0,,,,,4,4,About 0.3 percent of schools,170,28,26.3,1.7,0,1,mobile,4,About 0.3 percent of schools,1,7.0,"Q: A district flags any school more than three standard deviations from the mean on chronic absence. In a normal distribution, roughly how often would that happen by chance?  ||  A) About 5 percent of schools  |  B) About 32 percent of schools  |  C) About 1 percent of schools  |  D) About 0.3 percent of schools [X]",Chose D) About 0.3 percent of schools - CORRECT
R002083,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",10,2025-09-26,2025-09-26 22:51:52,5,Fri,22,Late night,433,TV-19,Normal curve,theme,Themed sets,6,The Normal Curve and z-Scores,6,taylor,Taylor's Version,exam1,lab2,,0,,,,,4,2,68%,142,3,3.7,-0.7,1,1,mobile,2,68%,1,6.9,"Q: Attendance across a 150-show tour is roughly normal with mean 62,000 and SD 8,000. About what percent of shows drew between 54,000 and 70,000?  ||  A) 34%  |  B) 68% [X]  |  C) 95%  |  D) 99.7%",Chose B) 68% - CORRECT
R002084,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",11,2025-09-26,2025-09-26 22:52:01,5,Fri,22,Late night,816,S07-27,Confidence intervals,authored,Written to the LD 810 lecture slides,7,Confidence Intervals,7,,,exam1,lab2,,0,,,,,4,3,Higher confidence buys certainty at the cost of a wider interval,114,64,51.7,12.3,1,1,mobile,3,Higher confidence buys certainty at the cost of a wider interval,1,19.0,"Q: A researcher can report a 90%, 95%, or 99% interval from the same data. What is the tradeoff across these choices?  ||  A) Higher confidence gives more certainty and more precision  |  B) Lower confidence always produces a more accurate estimate  |  C) Higher confidence buys certainty at the cost of a wider interval [X]  |  D) The choice changes the sample mean itself",Chose C) Higher confidence buys certainty at the cost of a wider interval - CORRECT
R002085,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",12,2025-09-26,2025-09-26 22:52:20,5,Fri,22,Late night,782,S06-43,Shape of data,authored,Written to the LD 810 lecture slides,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,0,,,,,4,2,That the stay equals the mean length of stay.,133,45,42.0,3.0,1,1,mobile,2,That the stay equals the mean length of stay.,1,31.5,"Q: In a right-skewed distribution of hospital lengths of stay, a stay at the 50th percentile sits at the median. What is NOT guaranteed?  ||  A) That half of all stays are shorter.  |  B) That the stay equals the mean length of stay. [X]  |  C) That half of all stays are longer.  |  D) That the stay is the middle value when stays are ordered.",Chose B) That the stay equals the mean length of stay. - CORRECT
R002086,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",13,2025-09-26,2025-09-26 22:52:54,5,Fri,22,Late night,805,S07-16,Confidence intervals,authored,Written to the LD 810 lecture slides,7,Confidence Intervals,7,,,exam1,lab2,,0,,,,,4,1,District A's interval will be wider,174,35,55.3,-20.3,1,1,mobile,1,District A's interval will be wider,1,18.0,"Q: Two districts each survey 150 teachers about hours spent on paperwork. District A's responses are far more spread out than District B's. How will their 95% intervals compare?  ||  A) District A's interval will be wider [X]  |  B) District B's interval will be wider  |  C) The intervals will be the same width because the samples are the same size  |  D) Spread does not affect interval width, only the mean does",Chose A) District A's interval will be wider - CORRECT
R002087,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",14,2025-09-26,2025-09-26 22:53:13,5,Fri,22,Late night,623,NEWS-34,Confidence intervals,news,"Current events — real reported figures, with the source",7,Confidence Intervals,7,,,exam1,lab2,,0,U.S. Bureau of Labor Statistics,August 2026 release,2026-09-11,https://www.bls.gov/news.release/empsit.tn.htm,4,1,"The interval runs from −32,000 to +212,000, so no change — or a small loss — is also consistent with the data",168,109,38.7,70.3,1,1,mobile,1,"The interval runs from −32,000 to +212,000, so no change — or a small loss — is also consistent with the data",1,20.3,"Q: Suppose a month's payroll estimate came in at +90,000, with the same ±122,000 interval. A headline reading ""the economy added jobs"" would be overstating things because:  ||  A) The interval runs from −32,000 to +212,000, so no change — or a small loss — is also consistent with the data [X]  |  B) +90,000 is too small a number to report  |  C) The confidence level would have to be 95%  |  D) Payroll estimates cannot be negative","Chose A) The interval runs from −32,000 to +212,000, so no change — or a small loss — is also consistent with the data - CORRECT"
R002088,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",15,2025-09-26,2025-09-26 22:53:35,5,Fri,22,Late night,1165,BRO-40,Confidence intervals,theme,Themed sets,7,Confidence Intervals,7,broncos,Denver Broncos,exam1,lab2,,0,,,,,4,4,"The interval includes zero, so a true difference of zero is plausible",189,69,60.3,8.7,1,1,mobile,4,"The interval includes zero, so a true difference of zero is plausible",1,6.5,"Q: A consultant reports that the mean difference in third-down conversion rate between home and road games is 3 percentage points, 95 percent CI [-2, 8]. What should the front office conclude?  ||  A) The home-field difference is statistically significant at the .05 level  |  B) Home games are proven to have no effect on conversion rate  |  C) The sample was too large, which widened the interval  |  D) The interval includes zero, so a true difference of zero is plausible [X]","Chose D) The interval includes zero, so a true difference of zero is plausible - CORRECT"
R002089,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",16,2025-09-26,2025-09-26 22:53:44,5,Fri,22,Late night,764,S06-25,Normal curve,authored,Written to the LD 810 lecture slides,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,0,,,,,4,3,About 84 percent of schools scored at or below this school.,96,59,58.3,0.7,1,1,mobile,4,The school is 84 standard deviations above the state mean.,0,22.3,Q: A principal is told her school's growth score falls at the 84th percentile. What does that mean?  ||  A) The school answered 84 percent of the indicators correctly.  |  B) The school scored 84 points above the state average score.  |  C) About 84 percent of schools scored at or below this school. [X]  |  D) The school is 84 standard deviations above the state mean.,Chose D) The school is 84 standard deviations above the state mean. - INCORRECT (key: C) About 84 percent of schools scored at or below this school.)
R002090,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",17,2025-09-26,2025-09-26 22:54:07,5,Fri,22,Late night,352,P08-26,Normal curve,pub,Publisher test bank — application level,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,1,,,,,4,3,2.0,95,3,3.7,-0.7,1,1,tablet,4,-2.5,0,15.0,"Q: With a raw score of 85, a group mean of 75, and a standard deviation of 5, what is the z score?  ||  A) -2.0  |  B) 2.5  |  C) 2.0 [X]  |  D) -2.5",Chose D) -2.5 - INCORRECT (key: C) 2.0)
R002091,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",18,2025-09-26,2025-09-26 22:54:23,5,Fri,22,Late night,150,NORM-01,Normal curve,lecture,Rewritten from textbook items to match lecture,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,1,,,,,4,2,1.4 standard deviations above the mean,70,38,21.7,16.3,1,1,mobile,1,1.4 points above the mean,0,11.7,Q: A student's GRE Verbal z-score is +1.4. That means the student scored:  ||  A) 1.4 points above the mean  |  B) 1.4 standard deviations above the mean [X]  |  C) In the 14th percentile  |  D) 1.4 times the mean,Chose A) 1.4 points above the mean - INCORRECT (key: B) 1.4 standard deviations above the mean)
R002092,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",19,2025-09-26,2025-09-26 22:54:36,5,Fri,22,Late night,750,S06-11,Center and spread,authored,Written to the LD 810 lecture slides,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,0,,,,,4,2,1.50,126,4,4.7,-0.7,1,1,mobile,1,0.65,0,24.2,Q: A standardized leadership exam has a mean of 500 and a standard deviation of 100. A candidate scores 650. What is her z-score?  ||  A) 0.65  |  B) 1.50 [X]  |  C) 15.00  |  D) -1.50,Chose A) 0.65 - INCORRECT (key: B) 1.50)
R002093,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",20,2025-09-26,2025-09-26 22:55:01,5,Fri,22,Late night,829,S07-40,Inference,authored,Written to the LD 810 lecture slides,7,Confidence Intervals,7,,,exam1,lab2,,0,,,,,4,1,Slight overlap does not prove the two programs are equivalent,141,61,51.0,10.0,1,1,mobile,1,Slight overlap does not prove the two programs are equivalent,1,20.0,Q: Two programs' 95% intervals for mean gain scores overlap slightly. A director concludes the programs are equally effective. What is the flaw?  ||  A) Slight overlap does not prove the two programs are equivalent [X]  |  B) Overlapping intervals always indicate a large difference between groups  |  C) Overlap means one sample was too large  |  D) Intervals cannot be compared across programs,Chose A) Slight overlap does not prove the two programs are equivalent - CORRECT
R002094,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",21,2025-09-26,2025-09-26 22:55:23,5,Fri,22,Late night,753,S06-14,Center and spread,authored,Written to the LD 810 lecture slides,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,0,,,,,4,4,-2.00,130,5,4.7,0.3,1,1,desktop,3,2.00,0,14.8,Q: Attendance rates across schools have a mean of 92 percent and a variance of 9. One school reports 86 percent. What is its z-score?  ||  A) -0.67  |  B) -6.00  |  C) 2.00  |  D) -2.00 [X],Chose C) 2.00 - INCORRECT (key: D) -2.00)
R002095,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",22,2025-09-26,2025-09-26 22:55:39,5,Fri,22,Late night,505,AK-20,Normal curve,theme,Themed sets,6,The Normal Curve and z-Scores,6,kay,Ironic Healthcare (in the style of Adam Kay),exam1,lab2,,0,,,,,4,2,68%,102,3,3.7,-0.7,1,1,mobile,3,95%,0,12.0,"Q: Using that distribution, about what proportion of patients have resting heart rates between 62 and 82?  ||  A) 50%  |  B) 68% [X]  |  C) 95%  |  D) 99.7%",Chose C) 95% - INCORRECT (key: B) 68%)
R002096,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",23,2025-09-26,2025-09-26 22:55:52,5,Fri,22,Late night,765,S06-26,Normal curve,authored,Written to the LD 810 lecture slides,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,0,,,,,4,4,The clinic processed 90 percent more patients than average.,107,59,49.0,10.0,1,1,mobile,2,The clinic sits above the median clinic.,0,11.5,Q: A clinic sits at the 90th percentile for patient throughput. Which statement is NOT supported by that fact?  ||  A) About 10 percent of clinics had higher throughput.  |  B) The clinic sits above the median clinic.  |  C) About 90 percent of clinics were at or below this clinic.  |  D) The clinic processed 90 percent more patients than average. [X],Chose B) The clinic sits above the median clinic. - INCORRECT (key: D) The clinic processed 90 percent more patients than average.)
R002097,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",24,2025-09-26,2025-09-26 22:56:05,5,Fri,22,Late night,838,S07-49,Confidence intervals,authored,Written to the LD 810 lecture slides,7,Confidence Intervals,7,,,exam1,lab2,,0,,,,,4,3,"It lowers the chance the range misses the true value, but widens it",171,67,41.3,25.7,1,1,mobile,3,"It lowers the chance the range misses the true value, but widens it",1,8.3,"Q: A hospital is deciding whether to change a medication protocol, where an error would be costly. Compared with a 95% interval, what does choosing a 99% interval accomplish?  ||  A) It guarantees the decision will be correct  |  B) It shrinks the range of plausible values  |  C) It lowers the chance the range misses the true value, but widens it [X]  |  D) It increases the sample size automatically","Chose C) It lowers the chance the range misses the true value, but widens it - CORRECT"
R002098,simulated,BIGTREE-FA25,BTS-01,K-12 Leadership,0,run-0097,practice,lab2,"Lab 2 · normal curve, confidence intervals, precision",25,2025-09-26,2025-09-26 22:56:16,5,Fri,22,Late night,813,S07-24,Sampling and standard error,authored,Written to the LD 810 lecture slides,7,Confidence Intervals,7,,,exam1,lab2,,0,,,,,4,3,Quadruple the sample,172,20,24.3,-4.3,1,1,mobile,3,Quadruple the sample,1,15.0,"Q: A nonprofit's margin of error is currently plus or minus 6 points and leadership wants plus or minus 3. Holding everything else constant, what sample size change is needed?  ||  A) Add 3 more respondents  |  B) Double the sample  |  C) Quadruple the sample [X]  |  D) Reduce the confidence level to 50%",Chose C) Quadruple the sample - CORRECT
