item_number,item_id,topic,tier_code,tier_label,session_primary,session_name,session_all,theme_code,theme_label,exam_block,lab_block,extra_topic,source_note,news_outlet,news_date,news_sourced,news_url,n_options,correct_position,correct_option_text,stem_chars,key_chars,mean_distractor_chars,key_length_advantage,numeric_item,item_text_full,n_responses
219,FA-03,Factor analysis,lecture,Rewritten from textbook items to match lecture,13,Factor Analysis,13,,,none,none,,"rewritten from a textbook-derived item (C15-308) to match the LD 810 lecture slides. Textbook: Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE).",,,,,4,2,How many factors to retain,55,26,25.3,0.7,0,Q: A scree plot is used in factor analysis to help decide:  ||  A) Which rotation to use  |  B) How many factors to retain [X]  |  C) Whether the sample is large enough  |  D) Which items to delete,15
220,FA-04,Factor analysis,lecture,Rewritten from textbook items to match lecture,13,Factor Analysis,13,,,none,none,,"rewritten from a textbook-derived item (C15-309) to match the LD 810 lecture slides. Textbook: Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE).",,,,,4,1,The item correlates strongly with Factor 1 and weakly with Factor 2,84,67,27.0,40.0,1,Q: An item has a loading of .78 on Factor 1 and .12 on Factor 2. The loading tells you:  ||  A) The item correlates strongly with Factor 1 and weakly with Factor 2 [X]  |  B) The item should be deleted  |  C) Factor 2 is more important  |  D) The item's reliability is .78,1
221,FA-05,Factor analysis,lecture,Rewritten from textbook items to match lecture,13,Factor Analysis,13,,,none,none,,"rewritten from a textbook-derived item (C15-311) to match the LD 810 lecture slides. Textbook: Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE).",,,,,4,2,Make the pattern of loadings easier to interpret,75,48,31.3,16.7,0,"Q: After extracting factors, an analyst applies a rotation. The purpose is to:  ||  A) Increase the number of factors  |  B) Make the pattern of loadings easier to interpret [X]  |  C) Force items to load on every factor  |  D) Test statistical significance",1
223,KQ-01,Levels of measurement,lecture,Rewritten from textbook items to match lecture,2,Variables and the Shape of Data,2,,,exam1,lab1,,"Appeared on a Fall 2025 LD 810 quiz; rewritten from a textbook-derived item (C02-052) to match the LD 810 lecture slides. Textbook: Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE).",,,,,4,3,"Housing type (residence hall, apartment, with family, other)",69,60,23.0,37.0,0,"Q: Which of the following is a categorical variable in a housing survey?  ||  A) Monthly rent in dollars  |  B) Distance to campus in miles  |  C) Housing type (residence hall, apartment, with family, other) [X]  |  D) Number of roommates",12
224,KQ-02,Levels of measurement,lecture,Rewritten from textbook items to match lecture,2,Variables and the Shape of Data,2,,,exam1,lab1,,"Appeared on a Fall 2025 LD 810 quiz; rewritten from a textbook-derived item (C02-053) to match the LD 810 lecture slides. Textbook: Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE).",,,,,4,3,Time in service measured in years and months,48,44,17.3,26.7,0,Q: Which of the following is a continuous variable?  ||  A) Branch of service  |  B) Number of deployments  |  C) Time in service measured in years and months [X]  |  D) Marital status,25
225,KQ-03,Levels of measurement,lecture,Rewritten from textbook items to match lecture,2,Variables and the Shape of Data,2,,,exam1,lab1,,"Appeared on a Fall 2025 LD 810 quiz; rewritten from a textbook-derived item (C02-059) to match the LD 810 lecture slides. Textbook: Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE).",,,,,4,1,Nominal,80,7,6.7,0.3,0,Q: A survey asks respondents to identify their gender. The level of measurement is:  ||  A) Nominal [X]  |  B) Ordinal  |  C) Interval  |  D) Ratio,2
327,P02-26,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Analysis level), Ch. 2 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,It will increase.,100,17,19.0,-2.0,1,"Q: Your current exam mean is 97.2. If you receive a 99 on the next exam, what will happen to your mean?  ||  A) It has no effect.  |  B) It will decrease  |  C) It will increase. [X]  |  D) It cannot be determined.",5
328,P02-47,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 2 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,mode,271,4,7.7,-3.7,0,"Q: Market researchers sent out a survey to college students in Ohio to assess their preferences regarding three different brands of honey. When examining the average preference of the respondents, which measure of central tendency is most likely to be used to describe them?  ||  A) median  |  B) mean  |  C) mode [X]  |  D) weighted mean",6
329,P02-53,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 2 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,median,123,6,7.3,-1.3,0,Q: Which measure of central tendency is used when you calculate the average of individual income and find many extreme scores?  ||  A) mean  |  B) median [X]  |  C) mode  |  D) standard error,7
330,P02-56,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 2 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,"23, 37, 42, 51, 147",53,19,18.0,1.0,0,"Q: Which of the following sets of data illustrates skew?  ||  A) 2, 3, 5, 7, 9  |  B) 450, 472, 523, 547, 601  |  C) 23, 37, 42, 51, 147 [X]  |  D) 12, 14, 15, 17, 19",6
331,P02-57,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Analysis level), Ch. 2 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,median,121,6,7.0,-1.0,1,"Q: What is the preferred measure of central tendency using the following data: $32,400; $42,500; $47,250; $49,570; $145,850?  ||  A) mean  |  B) median [X]  |  C) mode  |  D) weighted mean",5
332,P02-59,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Analysis level), Ch. 2 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,4,mode,120,4,7.7,-3.7,1,"Q: What is the preferred measure of central tendency using the following data: 23 Americans, 57 Mexicans, and 14 Canadians?  ||  A) mean  |  B) weighted mean  |  C) median  |  D) mode [X]",20
333,P03-26,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 3 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,1,"7, 10, 11, 15, 19",67,17,16.7,0.3,0,"Q: Which of the following sets of scores has the greatest variability?  ||  A) 7, 10, 11, 15, 19 [X]  |  B) 7, 7, 8, 8, 10, 11  |  C) 7, 7, 7, 7, 7, 7  |  D) 6, 6, 7, 7, 7, 7",10
334,P03-27,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 3 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,1,"5, 4, 5, 6, 5",64,13,14.7,-1.7,0,"Q: Which of the following sets of scores has the least variability?  ||  A) 5, 4, 5, 6, 5 [X]  |  B) 7, 2, 8, 9, 4  |  C) 12, 14, 17, 19, 21  |  D) 1, 2, 1, 7, 9",14
335,P03-45,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 3 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,"5, 5, 5, 5, 5",55,13,13.3,-0.3,0,"Q: Which of the following sets of data has no variability?  ||  A) 1, 2, 5, 4, 7  |  B) 7, 7, 7, 2, 9  |  C) 5, 5, 5, 5, 5 [X]  |  D) 0, 0, 0, 0, 10",6
336,P03-47,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 3 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,2,71,1,2.3,-1.3,1,Q: The variance of a group of scores is 4. What is the standard deviation?  ||  A) 3.5  |  B) 18  |  C) 2 [X]  |  D) 16,3
337,P03-56,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 3 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,25,68,2,1.7,0.3,1,"Q: If you have a standard deviation of 5, your variance will be ______.  ||  A) 4  |  B) 25 [X]  |  C) 5  |  D) 625",6
338,P03-57,Center and spread,pub,Publisher test bank — application level,3,"Center, Spread and a First Analysis",3,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 3 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,3,68,1,1.3,-0.3,1,"Q: If you have a variance of 9, your standard deviation will be ______.  ||  A) 9  |  B) 81  |  C) 3 [X]  |  D) 0",8
339,P04-24,Chart choice,pub,Publisher test bank — application level,2,Variables and the Shape of Data,2,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 4 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,line graph,125,10,9.0,1.0,0,"Q: If you were interested in tracking your GPA during the time you are in graduate school, which of the following might you use?  ||  A) bar chart  |  B) line graph [X]  |  C) pie chart  |  D) histogram",11
340,P04-25,Chart choice,pub,Publisher test bank — application level,2,Variables and the Shape of Data,2,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 4 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,1,line chart,106,10,9.0,1.0,0,"Q: If you wanted to depict trends in ice cream sales over the four seasons, what kind of chart would you use?  ||  A) line chart [X]  |  B) histogram  |  C) pie chart  |  D) bar chart",3
341,P05-16,Correlation,pub,Publisher test bank — application level,11,Correlation and Regression,11,,,exam2,lab4,,"Publisher test bank item (Application level), Ch. 5 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,49%,93,3,3.0,0.0,1,Q: If the correlation between variables is 0.70 the percentage of the shared variance is ______.  ||  A) 70%  |  B) 51%  |  C) 49% [X]  |  D) 30%,16
342,P05-18,Correlation,pub,Publisher test bank — application level,11,Correlation and Regression,11,,,exam2,lab4,,"Publisher test bank item (Application level), Ch. 5 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,0.64,87,4,4.0,0.0,1,"Q: If the correlation between variables is 0.80, what is the coefficient of determination?  ||  A) 0.20  |  B) 0.34  |  C) 0.64 [X]  |  D) 0.80",12
343,P05-24,Correlation,pub,Publisher test bank — application level,11,Correlation and Regression,11,,,exam2,lab4,,"Publisher test bank item (Application level), Ch. 5 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,4,-0.92,52,5,4.0,1.0,0,Q: Which of the following is the strongest correlation?  ||  A) 0.21  |  B) 0.87  |  C) 0.44  |  D) -0.92 [X],17
344,P05-45,Correlation,pub,Publisher test bank — application level,11,Correlation and Regression,11,,,exam2,lab4,,"Publisher test bank item (Application level), Ch. 5 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,4,0.90,112,4,4.0,0.0,1,"Q: If the coefficient of determination between two variables is .81, what is the Pearson's correlation coefficient?  ||  A) 0.19  |  B) 0.34  |  C) 0.66  |  D) 0.90 [X]",19
345,P05-55,Correlation,pub,Publisher test bank — application level,11,Correlation and Regression,11,,,exam2,lab4,,"Publisher test bank item (Application level), Ch. 5 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,4,negative correlation,93,20,20.7,-0.7,0,"Q: ""The more oatmeal you eat, the lower your blood cholesterol level"" is an example of a ______.  ||  A) continuous correlation  |  B) biserial correlation  |  C) positive correlation  |  D) negative correlation [X]",16
346,P06-17,Reliability and validity,pub,Publisher test bank — application level,4,Reliability and Validity,4,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 6 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,4,content validity,139,16,18.3,-2.3,0,"Q: If I can say that my weekly statistics quiz fairly assesses the material covered, what source of validity evidence should I have collected?  ||  A) criterion validity  |  B) concurrent validity  |  C) construct validity  |  D) content validity [X]",10
347,P06-18,Reliability and validity,pub,Publisher test bank — application level,4,Reliability and Validity,4,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 6 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,criterion validity,166,18,17.7,0.3,1,Q: The EATS test (of culinary skills) has been shown to be correlated with being a fine chef 2 years after culinary school. This is an example of which type of validity?  ||  A) content validity  |  B) criterion validity [X]  |  C) concurrent validity  |  D) construct validity,7
348,P06-25,Reliability and validity,pub,Publisher test bank — application level,4,Reliability and Validity,4,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 6 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,predictive validity,106,19,17.7,1.3,0,Q: High-school class rank is highly correlated with college GPA. This is an example of what type of validity?  ||  A) concurrent validity  |  B) predictive validity [X]  |  C) content validity  |  D) construct validity,7
349,P06-38,Reliability and validity,pub,Publisher test bank — application level,4,Reliability and Validity,4,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 6 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,interrater,242,10,15.0,-5.0,0,"Q: Two trained professionals observe the behavior of children in a classroom. They each rate observed behaviors using the same form, and the number of items that were rated the same is calculated. This is an example of which type of reliability?  ||  A) parallel forms  |  B) test-retest  |  C) interrater [X]  |  D) internal consistency",6
350,P06-50,Reliability and validity,pub,Publisher test bank — application level,4,Reliability and Validity,4,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 6 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,test-retest reliability,94,23,26.7,-3.7,0,"Q: If you want to know whether a test is reliable over time, what type of reliability do you use?  ||  A) parallel forms reliability  |  B) test-retest reliability [X]  |  C) interrater reliability  |  D) internal consistency reliability",7
351,P06-52,Reliability and validity,pub,Publisher test bank — application level,4,Reliability and Validity,4,,,exam1,lab1,,"Publisher test bank item (Application level), Ch. 6 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,4,internal consistency reliability,114,32,23.7,8.3,0,"Q: If you want to know if the items on a test assess one and only one dimension, what type of reliability do you use?  ||  A) parallel forms reliability  |  B) test-retest reliability  |  C) interrater reliability  |  D) internal consistency reliability [X]",16
352,P08-26,Normal curve,pub,Publisher test bank — application level,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,"Publisher test bank item (Application level), Ch. 8 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,2.0,95,3,3.7,-0.7,1,"Q: With a raw score of 85, a group mean of 75, and a standard deviation of 5, what is the z score?  ||  A) -2.0  |  B) 2.5  |  C) 2.0 [X]  |  D) -2.5",9
353,P08-39,Normal curve,pub,Publisher test bank — application level,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,"Publisher test bank item (Application level), Ch. 8 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,4,130,125,3,2.3,0.7,1,"Q: If a distribution has a mean of 100 and a standard deviation of 15, what value would be +2 standard deviations from the mean?  ||  A) 70  |  B) 85  |  C) 115  |  D) 130 [X]",10
354,P08-46,Normal curve,pub,Publisher test bank — application level,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,"Publisher test bank item (Application level), Ch. 8 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,85 to 115,164,9,9.0,0.0,1,Q: What two scores would divide a normal distribution such that 64.26% of the general population falls within them if the mean is 100 and the standard deviation is 15?  ||  A) 80 to 120  |  B) 85 to 115 [X]  |  C) 90 to 110  |  D) 75 to 125,12
355,P08-52,Normal curve,pub,Publisher test bank — application level,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,"Publisher test bank item (Application level), Ch. 8 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,4,negatively skewed,129,17,15.0,2.0,0,"Q: A distribution of scores in which almost the entire class scored very high, but a few students scored fairly low would be ______.  ||  A) normally distributed  |  B) positively skewed  |  C) unskewed  |  D) negatively skewed [X]",10
356,P08-53,Normal curve,pub,Publisher test bank — application level,6,The Normal Curve and z-Scores,6,,,exam1,lab2,,"Publisher test bank item (Application level), Ch. 8 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,positively skewed,129,17,15.0,2.0,0,"Q: A distribution of scores in which almost the entire class scored very low, but a few students scored fairly high would be ______.  ||  A) negatively skewed  |  B) positively skewed [X]  |  C) unskewed  |  D) normally distributed",22
357,P09-14,Hypothesis testing,pub,Publisher test bank — application level,8,Hypothesis Testing and Sampling Error,8,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 9 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,0.05,150,4,4.0,0.0,1,"Q: If you conclude that your findings yield a 1 in 20 chance that differences were not due to the hypothesized reason, what is the corresponding p value?  ||  A) 0.01  |  B) 0.05 [X]  |  C) 0.10  |  D) 0.20",9
358,P10-24,Sampling and standard error,pub,Publisher test bank — application level,7,Confidence Intervals,7|8,,,exam1|exam2,lab2|lab3,,"Publisher test bank item (Application level), Ch. 10 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,4,5,114,1,1.7,-0.7,1,"Q: If you have a population standard deviation of 10 and a sample size of 4, what is your standard error of the mean?  ||  A) -5  |  B) 14  |  C) 6  |  D) 5 [X]",42
359,P10-35,Sampling and standard error,pub,Publisher test bank — application level,7,Confidence Intervals,7|8,,,exam1|exam2,lab2|lab3,,"Publisher test bank item (Application level), Ch. 10 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,There is not a significant difference between the sample value and the population.,85,82,75.3,6.7,1,"Q: In the statement, z = 1.42, p > 0.05, which of the following interpretations is TRUE?  ||  A) There is a significant difference between the sample value and the population.  |  B) There is a marginally significant difference between the sample value and the population.  |  C) There is not a significant difference between the sample value and the population. [X]  |  D) The answer cannot be determined from the information given.",10
360,P10-36,Sampling and standard error,pub,Publisher test bank — application level,7,Confidence Intervals,7|8,,,exam1|exam2,lab2|lab3,,"Publisher test bank item (Application level), Ch. 10 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,1,There is a significant difference between the sample value and the population.,84,78,76.7,1.3,1,"Q: In the statement z = 3.14, p < 0.05, which of the following interpretations is TRUE?  ||  A) There is a significant difference between the sample value and the population. [X]  |  B) There is a marginally significant difference between the sample value and the population.  |  C) There is not a significant difference between the sample value and the population.  |  D) The answer cannot be determined from the information given.",19
361,P10-52,Sampling and standard error,pub,Publisher test bank — application level,7,Confidence Intervals,7|8,,,exam1|exam2,lab2|lab3,,"Publisher test bank item (Application level), Ch. 10 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,1,There is a statistical significance in the test.,87,48,26.7,21.3,1,"Q: In a t-test, if the resultant t value is 2.72 and p < 0.05, what is the interpretation?  ||  A) There is a statistical significance in the test. [X]  |  B) There is no statistical significance in the test.  |  C) unknown  |  D) The sample is unaffected",21
362,P11-24,t-tests,pub,Publisher test bank — application level,9,Which Test · t-Tests,9,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 11 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,60,120,2,2.0,0.0,1,"Q: If the number of participants in Group 1 = 32 and the number in Group 2 = 30, what is the associated degrees of freedom?  ||  A) 58  |  B) 59  |  C) 60 [X]  |  D) 62",6
363,P11-28,t-tests,pub,Publisher test bank — application level,9,Which Test · t-Tests,9,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 11 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,degrees of freedom,76,18,13.0,5.0,1,"Q: What does the number 58 represent in the following: t(58) = 2.001, p < 0.05?  ||  A) test statistic  |  B) t value  |  C) degrees of freedom [X]  |  D) significance level",7
364,P11-40,t-tests,pub,Publisher test bank — application level,9,Which Test · t-Tests,9,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 11 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,independent-samples t test,342,26,27.3,-1.3,0,"Q: A researcher wants to create an intervention to improve the well-being of first-semester graduate students, so she gives the professional school counseling students specific doses of rocky road ice cream and the mental health counseling students specific doses of licorice. To analyze the differences in well-being, she would use a(n) ______.  ||  A) dependent-samples t test  |  B) analysis of variance  |  C) independent-samples t test [X]  |  D) repeated-measures analysis of variance",14
365,P11-41,t-tests,pub,Publisher test bank — application level,9,Which Test · t-Tests,9,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 11 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,analysis of variance,239,20,29.3,-9.3,0,"Q: A researcher wants to study the impact of pizza consumption on the happiness of college freshmen, sophomores, and juniors. What test statistic would the researcher need to use to evaluate the difference in effectiveness between the groups?  ||  A) dependent-samples t-test  |  B) analysis of variance [X]  |  C) independent-samples t-test  |  D) repeated-measures analysis of variance",9
366,P12-15,t-tests,pub,Publisher test bank — application level,9,Which Test · t-Tests,9,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 12 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,30,80,2,2.0,0.0,1,"Q: How many subjects were examined based on the following: t(29) = 2.001, p < 0.05?  ||  A) 32  |  B) 31  |  C) 30 [X]  |  D) 29",6
367,P12-36,t-tests,pub,Publisher test bank — application level,9,Which Test · t-Tests,9,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 12 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,dependent-samples t test,190,24,20.0,4.0,0,Q: Dr. Moo would like to find out if there was a significant difference between her patients' anxiety scores before and after they completed a yoga program. What is the appropriate test to run?  ||  A) independent-samples t test  |  B) factorial ANOVA  |  C) dependent-samples t test [X]  |  D) Pearson correlation,4
368,P12-37,t-tests,pub,Publisher test bank — application level,9,Which Test · t-Tests,9,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 12 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,1,independent-samples t test,155,26,19.3,6.7,0,Q: Dr. Moo would like to find out if there was a significant difference between male and female patients' anxiety scores. What is the appropriate test to run?  ||  A) independent-samples t test [X]  |  B) factorial ANOVA  |  C) dependent-samples t test  |  D) Pearson correlation,6
369,P12-41,t-tests,pub,Publisher test bank — application level,9,Which Test · t-Tests,9,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 12 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,reject the null hypothesis,109,26,31.3,-5.3,1,"Q: You run a t test and find that your results indicate that t(26) = 3.13, p < 0.05. Your decision is to ______.  ||  A) fail to reject the null hypothesis  |  B) reject the null hypothesis [X]  |  C) ignore the null hypothesis  |  D) fail to ignore the null hypothesis",5
370,P12-60,t-tests,pub,Publisher test bank — application level,9,Which Test · t-Tests,9,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 12 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,1,fail to reject the null hypothesis,119,34,27.3,6.7,1,"Q: You run a t test and find that your results indicate that t(38) = 1.13, p > 0.05. You determine that you should ______.  ||  A) fail to reject the null hypothesis [X]  |  B) reject the null hypothesis  |  C) ignore the null hypothesis  |  D) accept the research hypothesis",12
371,P13-26,ANOVA,pub,Publisher test bank — application level,10,ANOVA and Post-Hoc Comparisons,10,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 13 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,3,75,1,1.7,-0.7,1,"Q: When interpreting F(2, 27) = 8.80, p < 0.05, how many groups were examined?  ||  A) 30  |  B) 27  |  C) 3 [X]  |  D) 2",12
372,P13-28,ANOVA,pub,Publisher test bank — application level,10,ANOVA and Post-Hoc Comparisons,10,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 13 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,1,30,84,2,1.3,0.7,1,"Q: When interpreting F(2, 27) = 8.80, p < 0.05, what is the total sample size examined?  ||  A) 30 [X]  |  B) 29  |  C) 3  |  D) 2",8
373,P13-47,ANOVA,pub,Publisher test bank — application level,10,ANOVA and Post-Hoc Comparisons,10,,,exam2,lab3,,"Publisher test bank item (Application level), Ch. 13 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,2,analysis of variance,438,20,29.3,-9.3,0,"Q: A researcher wants to create an intervention to improve the well-being of first-semester graduate students, so she gives one group of students specific doses of rocky road ice cream, the next group of students specific doses of licorice, and the third group of students specific doses of chewy fruit-flavored candies for their treatments. To analyze the differences in well-being between the types of treatment, she would use a(n) ______.  ||  A) dependent-samples t test  |  B) analysis of variance [X]  |  C) independent-samples t test  |  D) repeated-measures analysis of variance",11
374,P15-24,Correlation,pub,Publisher test bank — application level,11,Correlation and Regression,11,,,exam2,lab4,,"Publisher test bank item (Application level), Ch. 15 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,1,0.246,92,5,5.0,0.0,1,"Q: If the correlation between two variables is 0.496, what is the coefficient of determination?  ||  A) 0.246 [X]  |  B) 0.496  |  C) 0.504  |  D) 0.754",17
375,P15-31,Correlation,pub,Publisher test bank — application level,11,Correlation and Regression,11,,,exam2,lab4,,"Publisher test bank item (Application level), Ch. 15 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,3,29,109,2,2.0,0.0,1,"Q: When computing a correlation coefficient, if you have 27 degrees of freedom, your sample size must be ______.  ||  A) 25  |  B) 27  |  C) 29 [X]  |  D) 26",49
376,P15-38,Correlation,pub,Publisher test bank — application level,11,Correlation and Regression,11,,,exam2,lab4,,"Publisher test bank item (Application level), Ch. 15 of Salkind & Frey, *Statistics for People Who (Think They) Hate Statistics* (SAGE), 7th ed.",,,,,4,1,one-tailed hypothesis,186,21,21.3,-0.3,0,"Q: To examine the association between temperature and frozen yogurt sales, you hypothesize that higher temperatures will be associated with increased frozen yogurt sales. You have a ______.  ||  A) one-tailed hypothesis [X]  |  B) two-tailed hypothesis  |  C) nondirectional hypothesis  |  D) invalid hypothesis",13
